,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,11402312,34610976,37553414,41744140,46711746,53342951,60242341,67008466,72447218,77979612,79533094,79089680,78559848
K,35687839,11676960,41615142,45759944,50404375,56648553,63847580,70957375,77025547,82185635,83726409,83267308,82718864
Q,38723369,42939290,12299076,49852123,54407652,60474078,67152284,74622259,81105669,86250529,87773537,87294132,86722846
J,43129563,47298240,51535593,13277356,57602534,65045137,71484894,78462767,85231180,90862846,92368088,91868379,91274251
T,48393949,52214074,56357281,59642287,14746566,69247375,76570746,83391254,89796157,95533249,97596865,97076852,96459882
9,55504495,58911625,62861351,67618021,71987711,16428186,81573810,89249246,95528642,101068049,102984434,103094363,102454551
8,62862129,66641512,70028300,74526982,79840679,85106929,18695790,94484411,101722112,107166353,109025471,108693752,108755450
7,70129398,74254989,78084287,82048768,87190712,93373294,98901298,21423310,106652749,113123404,114963889,114627274,113942467
6,76022178,80805137,85058721,89387379,94133959,100178053,106737798,111965689,24530044,116843119,119659864,119483186,118782017
5,81983213,86422307,90660555,95491577,100409701,106238788,112692288,119028199,122982645,28731922,122535513,123097534,122489533
4,83768953,88195273,92415629,97228759,102727325,108455313,114847103,121159938,126168959,129230044,32147698,122271282,122123616
3,83453609,87864179,92064087,96856769,102334887,108721395,114693723,121002505,126183313,130040672,129193193,35819814,121342843
2,83116441,87508267,91685171,96454849,101909963,108273467,114982393,120541920,125706786,129665137,129308773,128529945,39805340
