,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,304661670,673957209,690016869,705041543,719134692,754019509,768134954,784885484,804780676,801655845,819532598,836814184,854728551
K,709592683,363424882,746895468,762297170,776310470,810946418,842504852,855198011,870979191,886182741,904464207,922096479,940058441
Q,726706236,787022855,414934680,808665883,822993463,857784464,888983752,921231985,932457169,947570537,965983128,983759701,1001879140
J,742722264,803451257,852387398,465955440,862082680,897489212,928812709,960790848,993461269,1003630618,1022100069,1039944977,1058144226
T,757743309,818398367,867678116,908890685,516772724,929682183,961535711,993686298,1026108216,1059410559,1072763176,1090600453,1108801845
9,795066539,855469612,904916521,946780981,980664407,577905278,991202871,1022667806,1054965342,1087988954,1126043589,1138526088,1156656186
8,810270096,889187966,938263805,980265461,1014712347,1046148851,637479762,1044830752,1076725291,1109625751,1147362116,1185874183,1198467986
7,828271026,902850280,972707935,1014433489,1049069216,1079755744,1103148347,697512212,1092540371,1124884696,1162270840,1200476022,1240253676
6,849630112,919797298,984776601,1049310444,1083692281,1114245195,1137194278,1153839298,757863966,1134396836,1170746176,1208585765,1248047597
5,846354213,936062067,1000937099,1060173322,1119171845,1149436843,1172253905,1188290423,1198220417,817847556,1166789139,1203435009,1242410576
4,865741863,955868151,1020875843,1080165166,1133678575,1190239950,1212723838,1228381882,1237190410,1232622607,885403592,1225893915,1263995344
3,884464630,974949238,1040102775,1099456682,1152953414,1203773415,1253975431,1269312307,1277726314,1271872234,1295765244,953411342,1282101494
2,903847893,994361217,1059673784,1119103759,1172593597,1223328146,1267594076,1311884399,1319968310,1313594570,1336529218,1355723830,1021877238
