,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,1781508418,1389004215,1370002117,1350786717,1331725962,1290209940,1269195105,1245678450,1220344506,1217936943,1198506708,1181668536,1164284001
K,1352291878,1722470558,1309061790,1289515286,1270857555,1229977429,1191219968,1171417014,1149567662,1129204024,1109381784,1092208613,1074795095
Q,1332142795,1267610255,1670338644,1239054394,1220171285,1179313858,1141436364,1101718156,1084009562,1063751334,1043815735,1026518567,1008970414
J,1311720573,1246822903,1193649409,1618339604,1177887186,1135038051,1097274797,1058318785,1018879951,1003078936,983104243,965759044,948153923
T,1291435142,1226959959,1173537003,1129039428,1566053110,1098642842,1059465943,1020494848,981668027,942628592,927212359,909895095,892310673
9,1247001366,1183191163,1129794528,1083173398,1044920282,1503238936,1024795719,985655348,947078416,908515397,868544377,855951949,838461663
8,1224440175,1141742922,1089280295,1042779957,1003019374,966316620,1441396848,958257237,919124997,880780296,841184813,803004465,790348964
7,1199171976,1120467131,1046780178,1001090143,961312472,924443362,895522755,1378636878,898379280,859564300,820337671,782469104,743376257
6,1171920110,1096969965,1027737078,958874577,919746160,883149152,853640324,831767413,1315178390,846332445,807166360,769503449,730742786
5,1169234974,1075088026,1005974746,941907501,877990854,841896769,812626207,790253778,776369338,1250992922,808247748,771039857,732672291
4,1148061584,1053508976,984280928,920178475,861166500,798877137,770001459,748030580,734213031,735719749,1180021110,749407203,711453440
3,1129654161,1034758983,965405538,901258949,842284099,785077590,728903246,707257588,693662773,695659494,672613963,1108341244,694128063
2,1110608066,1015702916,946213445,882013792,823068840,765970787,714995931,665146081,651897304,654312693,631734409,613318625,1035889822
